defined_class	defined_class_label	location	location_label	molecular_entity	molecular_entity_label
MP:0005480	"increased circulating triiodothyronine level"	UBERON:0000178	"blood"	CHEBI:18258	"3,3',5-triiodo-L-thyronine"
MP:0008553	"increased circulating tumor necrosis factor level"	UBERON:0000178	"blood"	PR:000000134	"tumor necrosis factor alpha"
MP:0013723	"increased circulating tyrosine level"	UBERON:0000178	"blood"	CHEBI:18186	"tyrosine"
MP:0011188	"increased erythrocyte protoporphyrin level"	CL:0000232	"erythrocyte"	CHEBI:8337	"porphyrin"
MP:0005564	"increased hemoglobin content"	UBERON:0000178	"blood"	CHEBI:35143	"hemoglobin"
MP:0012607	"increased kidney glutathione level"	UBERON:0002113	"kidney"	CHEBI:16856	"glutathione"
MP:0010027	"increased liver cholesterol level"	UBERON:0002107	"liver"	CHEBI:16113	"cholesterol"
MP:0010400	"increased liver glycogen level"	UBERON:0002107	"liver"	CHEBI:28087	"glycogen"
MP:0009355	"increased liver triglyceride level"	UBERON:0002107	"liver"	CHEBI:17855	"triglyceride"
MP:0005561	"increased mean corpuscular hemoglobin"	CL:0000595	"enucleate erythrocyte"	CHEBI:35143	"hemoglobin"
MP:0003249	"increased muscle free fatty acid level"	UBERON:0001630	"muscle organ"	CHEBI:35366	"fatty acid"
MP:0009588	"increased plasma membrane sphingolipid content"	GO:0005886	"plasma membrane"	CHEBI:26739	"sphingolipid"
MP:0009558	"increased platelet ADP level"	CL:0000233	"platelet"	CHEBI:16761	"ADP"
MP:0009449	"increased platelet ATP level"	CL:0000233	"platelet"	CHEBI:15422	"ATP"
MP:0004724	"increased platelet serotonin level"	CL:0000233	"platelet"	CHEBI:28790	"serotonin"
MP:0010401	"increased skeletal muscle glycogen level"	UBERON:0001134	"skeletal muscle tissue"	CHEBI:28087	"glycogen"
MP:0011540	"increased urine aldosterone level"	UBERON:0001088	"urine"	CHEBI:27584	"aldosterone"
MP:0011735	"increased urine ammonia level"	UBERON:0001088	"urine"	CHEBI:28938	"ammonium"
MP:0011543	"increased urine antidiuretic hormone level"	UBERON:0001088	"urine"	CHEBI:9937	"vasopressin"
MP:0011462	"increased urine bicarbonate level"	UBERON:0001088	"urine"	CHEBI:17544	"hydrogencarbonate"
MP:0011459	"increased urine chloride ion level"	UBERON:0001088	"urine"	CHEBI:17996	"chloride"
MP:0011549	"increased urine corticosterone level"	UBERON:0001088	"urine"	CHEBI:16827	"corticosterone"
MP:0011470	"increased urine creatinine level"	UBERON:0001088	"urine"	CHEBI:16737	"creatinine"
MP:0011553	"increased urine deoxycorticosterone level"	UBERON:0001088	"urine"	CHEBI:16973	"11-deoxycorticosterone"
MP:0001759	"increased urine glucose level"	UBERON:0001088	"urine"	CHEBI:17234	"glucose"
MP:0011473	"increased urine glycosaminoglycan level"	UBERON:0001088	"urine"	CHEBI:18085	"glycosaminoglycan"
MP:0011654	"increased urine histidine level"	UBERON:0001088	"urine"	CHEBI:27570	"histidine"
MP:0011559	"increased urine insulin level"	UBERON:0001088	"urine"	PR:000009054	"insulin"
MP:0011741	"increased urine nitrite level"	UBERON:0001088	"urine"	CHEBI:16301	"nitrite"
MP:0011546	"increased urine progesterone level"	UBERON:0001088	"urine"	CHEBI:17026	"progesterone"
MP:0011563	"increased urine prostaglandin level"	UBERON:0001088	"urine"	CHEBI:26333	"prostaglandin"
MP:0002962	"increased urine protein level"	UBERON:0001088	"urine"	PR:000000001	"protein"
MP:0009472	"increased urine sulfate level"	UBERON:0001088	"urine"	CHEBI:16189	"sulfate"
MP:0020405	"increased urine taurine level"	UBERON:0001088	"urine"	CHEBI:15891	"taurine"
MP:0009810	"increased urine uric acid level"	UBERON:0001088	"urine"	CHEBI:27226	"uric acid"
MP:0020403	"lysinuria"	UBERON:0001088	"urine"	CHEBI:25094	"lysine"
MP:0005059	"lysosomal protein accumulation"	GO:0005764	"lysosome"	CHEBI:16541	"protein polypeptide chain"
MP:0006034	"myoglobinuria"	UBERON:0001088	"urine"	CHEBI:7044	"myoglobin"
MP:0020402	"ornithinuria"	UBERON:0001088	"urine"	CHEBI:18257	"ornithine"
MP:0011765	"oroticaciduria"	UBERON:0001088	"urine"	CHEBI:16742	"orotic acid"
MP:0020404	"prolinuria"	UBERON:0001088	"urine"	CHEBI:26271	"proline"
MP:0011537	"uraturia"	UBERON:0001088	"urine"	CHEBI:46819	"urate salt"
