defined_class	defined_class_label	location	location_label	molecular_entity	molecular_entity_label
MP:0008594	"decreased circulating interleukin-10 level"	UBERON:0000178	"blood"	PR:000001471	"interleukin-10"
MP:0008645	"decreased circulating interleukin-12a level"	UBERON:0000178	"blood"	PR:000001368	"interleukin-12 subunit alpha"
MP:0008648	"decreased circulating interleukin-12b level"	UBERON:0000178	"blood"	PR:000001369	"interleukin-12 subunit beta"
MP:0008609	"decreased circulating interleukin-13 level"	UBERON:0000178	"blood"	PR:000001370	"interleukin-13"
MP:0008612	"decreased circulating interleukin-15 level"	UBERON:0000178	"blood"	PR:000001373	"interleukin-15"
MP:0008633	"decreased circulating interleukin-16 level"	UBERON:0000178	"blood"	PR:000001374	"interleukin-16"
MP:0008615	"decreased circulating interleukin-17 level"	UBERON:0000178	"blood"	PR:000001092	"interleukin-17"
MP:0008636	"decreased circulating interleukin-18 level"	UBERON:0000178	"blood"	PR:000001376	"interleukin-18"
MP:0008600	"decreased circulating interleukin-2 level"	UBERON:0000178	"blood"	PR:000001379	"interleukin-2"
MP:0009061	"decreased circulating interleukin-21 level"	UBERON:0000178	"blood"	PR:000001382	"interleukin-21"
MP:0008624	"decreased circulating interleukin-3 level"	UBERON:0000178	"blood"	PR:000001387	"interleukin-3"
MP:0008603	"decreased circulating interleukin-4 level"	UBERON:0000178	"blood"	PR:000001391	"interleukin-4"
MP:0008627	"decreased circulating interleukin-5 level"	UBERON:0000178	"blood"	PR:000001392	"interleukin-5"
MP:0008597	"decreased circulating interleukin-6 level"	UBERON:0000178	"blood"	PR:000001393	"interleukin-6"
MP:0008606	"decreased circulating interleukin-7 level"	UBERON:0000178	"blood"	PR:000001317	"interleukin-7"
MP:0011715	"decreased circulating interleukin-8 level"	UBERON:0000178	"blood"	PR:000001395	"interleukin-8"
MP:0008630	"decreased circulating interleukin-9 level"	UBERON:0000178	"blood"	PR:000001396	"interleukin-9"
MP:0003458	"decreased circulating ketone body level"	UBERON:0000178	"blood"	CHEBI:73693	"ketone body"
MP:0013404	"decreased circulating lactate level"	UBERON:0000178	"blood"	CHEBI:24996	"lactate"
MP:0005668	"decreased circulating leptin level"	UBERON:0000178	"blood"	PR:000009758	"leptin"
MP:0002773	"decreased circulating luteinizing hormone level"	UBERON:0000178	"blood"	CHEBI:81568	"Luteinizing hormone"
MP:0003374	"decreased circulating mineralocorticoid level"	UBERON:0000178	"blood"	CHEBI:25354	"mineralocorticoid"
MP:0005664	"decreased circulating noradrenaline level"	UBERON:0000178	"blood"	CHEBI:33569	"noradrenaline"
MP:0002905	"decreased circulating parathyroid hormone level"	UBERON:0000178	"blood"	PR:000013429	"parathyroid hormone"
MP:0000198	"decreased circulating phosphate level"	UBERON:0000178	"blood"	CHEBI:26020	"phosphate"
MP:0003981	"decreased circulating phospholipid level"	UBERON:0000178	"blood"	CHEBI:16247	"phospholipid"
MP:0005185	"decreased circulating progesterone level"	UBERON:0000178	"blood"	CHEBI:17026	"progesterone"
MP:0005121	"decreased circulating prolactin level"	UBERON:0000178	"blood"	PR:000013246	"prolactin"
MP:0003353	"decreased circulating renin level"	UBERON:0000178	"blood"	PR:000013883	"renin"
MP:0005419	"decreased circulating serum albumin level"	UBERON:0000178	"blood"	PR:000003918	"serum albumin"
MP:0002780	"decreased circulating testosterone level"	UBERON:0000178	"blood"	CHEBI:17347	"testosterone"
MP:0005119	"decreased circulating thyroid-stimulating hormone level"	UBERON:0000178	"blood"	CHEBI:81567	"thyroid stimulating hormone"
MP:0005478	"decreased circulating thyroxine level"	UBERON:0000178	"blood"	CHEBI:30660	"thyroxine"
MP:0005567	"decreased circulating total protein level"	UBERON:0000178	"blood"	CHEBI:16541	"protein polypeptide chain"
MP:0002644	"decreased circulating triglyceride level"	UBERON:0000178	"blood"	CHEBI:17855	"triglyceride"
MP:0005479	"decreased circulating triiodothyronine level"	UBERON:0000178	"blood"	CHEBI:18258	"3,3',5-triiodo-L-thyronine"
MP:0008554	"decreased circulating tumor necrosis factor level"	UBERON:0000178	"blood"	PR:000000134	"tumor necrosis factor alpha"
MP:0013724	"decreased circulating tyrosine level"	UBERON:0000178	"blood"	CHEBI:18186	"tyrosine"
MP:0002874	"decreased hemoglobin content"	UBERON:0000178	"blood"	CHEBI:35143	"hemoglobin"
MP:0012605	"decreased kidney glutathione level"	UBERON:0002113	"kidney"	CHEBI:16856	"glutathione"
MP:0010026	"decreased liver cholesterol level"	UBERON:0002107	"liver"	CHEBI:16113	"cholesterol"
MP:0010398	"decreased liver glycogen level"	UBERON:0002107	"liver"	CHEBI:28087	"glycogen"
MP:0009356	"decreased liver triglyceride level"	UBERON:0002107	"liver"	CHEBI:17855	"triglyceride"
MP:0000362	"decreased mast cell histamine storage"	CL:0000097	"mast cell"	CHEBI:18295	"histamine"
MP:0005562	"decreased mean corpuscular hemoglobin"	CL:0000595	"enucleate erythrocyte"	CHEBI:35143	"hemoglobin"
MP:0009557	"decreased platelet ADP level"	CL:0000233	"platelet"	CHEBI:16761	"ADP"
MP:0009448	"decreased platelet ATP level"	CL:0000233	"platelet"	CHEBI:15422	"ATP"
MP:0004725	"decreased platelet serotonin level"	CL:0000233	"platelet"	CHEBI:28790	"serotonin"
MP:0010399	"decreased skeletal muscle glycogen level"	UBERON:0001134	"skeletal muscle tissue"	CHEBI:28087	"glycogen"
MP:0011541	"decreased urine aldosterone level"	UBERON:0001088	"urine"	CHEBI:27584	"aldosterone"
MP:0011736	"decreased urine ammonia level"	UBERON:0001088	"urine"	CHEBI:28938	"ammonium"
MP:0011544	"decreased urine antidiuretic hormone level"	UBERON:0001088	"urine"	CHEBI:9937	"vasopressin"
MP:0011463	"decreased urine bicarbonate level"	UBERON:0001088	"urine"	CHEBI:17544	"hydrogencarbonate"
MP:0011460	"decreased urine chloride ion level"	UBERON:0001088	"urine"	CHEBI:17996	"chloride"
MP:0011550	"decreased urine corticosterone level"	UBERON:0001088	"urine"	CHEBI:16827	"corticosterone"
MP:0011471	"decreased urine creatinine level"	UBERON:0001088	"urine"	CHEBI:16737	"creatinine"
MP:0011554	"decreased urine deoxycorticosterone level"	UBERON:0001088	"urine"	CHEBI:16973	"11-deoxycorticosterone"
MP:0003870	"decreased urine glucose level"	UBERON:0001088	"urine"	CHEBI:17234	"glucose"
MP:0011474	"decreased urine glycosaminoglycan level"	UBERON:0001088	"urine"	CHEBI:18085	"glycosaminoglycan"
MP:0011560	"decreased urine insulin level"	UBERON:0001088	"urine"	PR:000009054	"insulin"
MP:0011742	"decreased urine nitrite level"	UBERON:0001088	"urine"	CHEBI:16301	"nitrite"
MP:0011547	"decreased urine progesterone level"	UBERON:0001088	"urine"	CHEBI:17026	"progesterone"
MP:0011564	"decreased urine prostaglandin level"	UBERON:0001088	"urine"	CHEBI:26333	"prostaglandin"
MP:0002963	"decreased urine protein level"	UBERON:0001088	"urine"	PR:000000001	"protein"
MP:0011424	"decreased urine uric acid level"	UBERON:0001088	"urine"	CHEBI:46819	"urate salt"
MP:0002853	"hyposulfatemia"	UBERON:0000178	"blood"	CHEBI:16189	"sulfate"
MP:0002901	"increased urine phosphate level"	UBERON:0001088	"urine"	CHEBI:26020	"phosphate"
