defined_class	defined_class_label	behavior_process	behavior_process_label
MP:0008431	"abnormal short term spatial reference memory"	NBO:0000557	"short term spatial memory"
MP:0011396	"abnormal sleep behavior"	NBO:0000024	"sleeping behavior"
MP:0001360	"abnormal social investigation"	NBO:0000148	"social investigation"
MP:0002557	"abnormal social/conspecific interaction"	NBO:0000011	"social behavior"
MP:0001463	"abnormal spatial learning"	NBO:0000175	"spatial learning"
MP:0008414	"abnormal spatial reference memory"	NBO:0000556	"spatial memory"
MP:0008428	"abnormal spatial working memory"	NBO:0000555	"spatial working memory"
MP:0001486	"abnormal startle reflex"	NBO:0000391	"startle reflex"
MP:0001388	"abnormal stationary movement"	NBO:0000001	"body part movement"
MP:0001436	"abnormal suckling behavior"	NBO:0000054	"suckling behavior"
MP:0001391	"abnormal tail movements"	NBO:0000445	"tail movement"
MP:0001468	"abnormal temporal memory"	NBO:0000180	"short-term memory"
MP:0002733	"abnormal thermal nociception"	NBO:0000335	"thermal nociceptive behavior"
MP:0001968	"abnormal touch/ nociception"	NBO:0000330	"cutaneous sensation behavior"
MP:0006377	"abnormal vestibulocollic reflex"	NBO:0000581	"vestibulocollic reflex"
MP:0004844	"abnormal vestibuloocular reflex"	NBO:0000416	"vestibulo-ocular reflex"
MP:0001490	"abnormal vibrissae reflex"	NBO:0000583	"vibrissae reflex"
MP:0006156	"abnormal visual pursuit"	NBO:0000446	"visual pursuit"
MP:0001529	"abnormal vocalization"	NBO:0000037	"vocalization behavior"
MP:0003491	"abnormal voluntary movement"	NBO:0000403	"voluntary movement behavior"
MP:0001446	"abnormal whisker trimming behavior"	NBO:0000561	"hetero-barbering"
MP:0002862	"altered righting response"	NBO:0000578	"righting reflex"
MP:0001410	"head bobbing"	NBO:0000570	"head bobbing"
MP:0002730	"head shaking"	NBO:0000023	"head shaking"
MP:0005307	"head tossing"	NBO:0000571	"mutlidirectional head movement"
MP:0001513	"limb grasping"	NBO:0000584	"clutching reflex"
MP:0001355	"submission towards male mice"	NBO:0000125	"submissive behavior towards male mice"
